kode_konsep,konsep,definisi
K02368,Muka Laut atau Permukaan Laut,Bidang rata di atas suatu kumpulan air asin (dalam jumlah banyak dan luas) yang menggenangi dan membagi daratan atas benua atau pulau.
K01202,Musyawarah,Pembahasan bersama dengan maksud mencapai keputusan atas penyelesaian masalah.
K01206,Narapidana,Orang yang sedang menjalani hukuman karena tindak pidana.
K01208,Narkotika,"Zat atau obat, termasuk yang berasal dari tanaman, yang dapat menyebabkan penurunan atau perubahan kesadaran, menyebabkan mati rasa, mengurangi sampai menghilangkan rasa nyeri, dan menimbulkan ketergantungan."
K01210,Naskah Kuno,"Semua dokumen tertulis yang tidak dicetak atau tidak diperbanyak dengan cara lain, baik yang berada di dalam negeri maupun di luar negeri yang berumur sekurang-kurangnya 50 tahun, dan yang mempunyai nilai penting bagi kebudayaan nasional, sejarah, dan ilmu pengetahuan."
K01212,Negara,"Organisasi dalam suatu wilayah yang mempunyai kekuasaan tertinggi yang sah dan ditaati oleh rakyat, mempunyai kesatuan politik, dan berdaulat sehingga berhak menentukan tujuan nasionalnya."
K02369,Netralitas,Tidak berpihak pada segala bentuk pengaruh manapun dan tidak memihak pada kepentingan tertentu.
K01228,Nilai Tambah,"Nilai ekonomi yang ditambahkan ke suatu produk atau jasa yang ditawarkan kepada konsumen, diperoleh dari selisih antara nilai output dan biaya intermediate input (biaya antara)."
K01229,Nomor Induk Kependudukan (NIK),"Nomor identitas penduduk yang bersifat unik atau khas, tunggal, dan melekat pada seseorang yang terdaftar sebagai penduduk Indonesia yang tercantum pada berbagai dokumen kependudukan seperti KTP, Kartu Keluarga (KK), akta kelahiran, dan dokumen kependudukan lainnya."
K01237,Notifikasi Kosmetik,Persetujuan yang diberikan oleh kepala badan yang berwenang dalam pengawasan obat dan makanan terhadap pemberitahuan dari pelaku usaha untuk mengedarkan kosmetik di wilayah Indonesia setelah pelaku usaha memenuhi persyaratan pengajuan permohonan izin edar kosmetik.
K01238,Obat,"Bahan atau paduan bahan, termasuk produk biologi, yang digunakan untuk mempengaruhi atau menyelidiki sistem fisiologi atau keadaan patologi dalam rangka penetapan diagnosis, pencegahan, penyembuhan, pemulihan, peningkatan kesehatan, dan kontrasepsi untuk manusia atau hewan."
K01245,Obat Bahan Alam,"Bahan, ramuan bahan, atau produk yang berasal dari sumber daya alam berupa tumbuhan, hewan, jasad renik, mineral, bahan lain dari sumber daya alam, atau campuran dari bahan tersebut yang telah digunakan secara turun temurun, atau sudah dibuktikan berkhasiat, aman, dan bermutu, dan dapat digunakan untuk pemeliharaan kesehatan, peningkatan kesehatan, pencegahan penyakit, pengobatan, dan/atau pemulihan kesehatan berdasarkan pembuktian secara empiris dan/atau ilmiah."
K01246,Obesitas,Penyakit kronis dengan ciri-ciri timbunan lemak tubuh yang berlebih (eksesif).
K01253,Olahraga,"Segala kegiatan yang melibatkan pikiran, raga, dan jiwa secara terintegrasi dan sistematis untuk mendorong, membina, serta mengembangkan potensi jasmani, rohani, sosial, dan budaya."
K01255,Omzet,Uang hasil penjualan barang (dagangan) tertentu selama suatu masa jual berupa pendapatan kotor yang belum dikurangi pembayaran beban atau biaya-biaya lainnya dalam bisnis.
K01055,Orang Lanjut Usia (Lansia),Seseorang yang telah mencapai usia 60 tahun ke atas.
K01263,Organisasi,"Suatu sistem perserikatan antara dua orang atau lebih yang bekerjasama secara terencana, terpadu dan terarah untuk mencapai tujuan tertentu, baik formal (berbadan hukum) maupun tidak, serta biasanya dibingkai dalam suatu keanggotaan dan kepengurusan (memiliki ketua, sekretaris dan bendahara) dan memiliki aturan-aturan tertentu."
K01264,Organisasi Internasional,Organisasi antar pemerintah yang diakui sebagai subjek hukum internasional dan mempunyai kapasitas untuk membuat perjanjian internasional.
K01276,Pajak,"Pungutan wajib, biasanya berupa uang yang harus dibayar oleh penduduk sebagai sumbangan wajib kepada negara atau pemerintah sehubungan dengan pendapatan, pemilikan, harga beli barang, dan sebagainya."
K01280,Palawija,"Tanaman selain padi yang biasa ditanam di sawah atau di ladang/tegalan, seperti jagung, kedelai, kacang, ubi kayu, dan ubi jalar."
K01282,Panen,Pemungutan (pemetikan) hasil sawah atau ladang.
K01283,Pangan Olahan,Makanan atau minuman hasil proses dengan cara atau metode tertentu dengan atau tanpa bahan tambahan.
K01289,Partisipasi Sekolah,"Keikutsertaan penduduk dalam pendidikan, baik pada jenjang pendidikan dasar, menengah, dan tinggi, maupun pendidikan yang setara."
K01291,Pasar,"Lembaga ekonomi tempat bertemunya pembeli dan penjual, baik secara langsung maupun tidak langsung, untuk melakukan transaksi perdagangan."
K01297,Paten,Hak eksklusif yang diberikan oleh negara kepada inventor atas hasil invensinya di bidang teknologi untuk jangka waktu tertentu melaksanakan sendiri invensi tersebut atau memberikan persetujuan kepada pihak lain untuk melaksanakannya.
K01300,Pegawai Negeri Sipil (PNS),Warga negara Indonesia yang memenuhi syarat tertentu dan diangkat sebagai aparatur sipil negara (ASN) secara tetap untuk menduduki jabatan pemerintahan.
K01301,Pegawai Pemerintah dengan Perjanjian Kerja (PPPK),Warga negara Indonesia yang memenuhi syarat tertentu yang diangkat berdasarkan perjanjian kerja untuk jangka waktu tertentu dalam rangka melaksanakan tugas pemerintahan.
K01306,Pekerja,Setiap orang yang bekerja dengan menerima upah atau imbalan dalam bentuk lain.
K02166,Pekerja Mandiri/Wirausaha,"Pekerja yang mempunyai sikap, semangat, perilaku, dan kemampuan untuk melakukan atau menangani kegiatan atau usaha yang dapat menciptakan lapangan pekerjaan dan memberikan penghasilan bagi dirinya sendiri atau orang lain."
K01310,Pekerja Migran Indonesia,"Setiap warga negara Indonesia yang akan, sedang, atau telah melakukan pekerjaan dengan menerima upah di luar wilayah Republik Indonesia."
K01315,Pekerja Setengah Penganggur,"Penduduk usia kerja yang bekerja selama kurang dari jam kerja normal, yaitu kurang dari 35 jam seminggu, dan masih mencari pekerjaan atau masih bersedia menerima pekerjaan (dahulu disebut setengah penganggur terpaksa)."
K01317,Pekerja Tetap,"Pekerja yang mendapatkan upah/gaji secara tetap tanpa tergantung pada kehadiran, dan apabila diberhentikan biasanya mendapat pesangon (termasuk pemilik)."
K01318,Pekerja Tidak Tetap/Harian,"Pekerja dibayar yang tidak terikat secara tetap dengan perusahaan/usaha, mereka hanya bekerja selama pekerjaan/proyek dan setelah selesai maka secara otomatis mereka tidak mempunyai hubungan kerja."
K01320,Pekerjaan,Pencaharian yang dijadikan sebagai pokok penghidupan.
K01321,Pelabuhan,"Tempat yang terdiri dari daratan dan perairan di sekitarnya dengan batas-batas tertentu sebagai tempat kegiatan pemerintahan dan kegiatan ekonomi yang dipergunakan sebagai tempat kapal bersandar, berlabuh, naik turun penumpang, dan/atau bongkar muat barang yang dilengkapi dengan fasilitas keselamatan pelayaran dan kegiatan penunjang pelabuhan serta sebagai tempat perpindahan intra dan antarmoda transportasi."
K00312,Pelaku Rawat/Caregiver,Orang yang memberikan perawatan kepada seseorang yang membutuhkan pertolongan untuk mengurus dirinya.
K01337,Pelaku Usaha,Perseorangan atau badan usaha yang melakukan kegiatan pada bidang tertentu dengan tujuan memperoleh keuntungan.
K01340,Pelanggaran,Tindakan yang bertentangan dengan ketentuan yang berlaku.
K01354,Pelatihan,"Kegiatan pengembangan sumber daya manusia untuk meningkatkan pengetahuan, keterampilan, maupun sikap sesuai kompetensi."
K01358,Pelaut,Setiap orang yang mempunyai kualifikasi keahlian atau keterampilan sebagai awak kapal dan memenuhi sertifikat basic safety training.
K01359,Pelayanan Antenatal,Pelayanan kesehatan yang diberikan kepada ibu hamil sesuai standar kuantitas dan kualitas baik dengan mengunjungi atau dikunjungi oleh tenaga kesehatan.
K01361,Pelayanan Kesehatan,"Setiap upaya yang diselenggarakan secara sendiri atau bersama-sama dalam suatu organisasi untuk memelihara dan meningkatkan kesehatan, mencegah dan menyembuhkan penyakit serta memulihkan kesehatan perseorangan, keluarga, kelompok dan/ataupun masyarakat"
K01364,Pelayanan Masa Sebelum Hamil,Setiap kegiatan dan/atau serangkaian kegiatan yang ditujukan pada perempuan sejak saat remaja hingga saat sebelum hamil dalam rangka menyiapkan perempuan untuk menjalani kehamilan yang sehat. Pelayanan ini juga ditujukan kepada laki-laki karena kesehatan laki-laki juga dapat mempengaruhi kesehatan reproduksi perempuan.
K01365,Pelayanan Neonatal,Pelayanan kesehatan untuk bayi baru lahir sesuai standar kuantitas dan standar kualitas baik dengan mengunjungi atau dikunjungi oleh tenaga kesehatan.
K01368,Pelayanan Publik,"Kegiatan atau rangkaian kegiatan dalam rangka pemenuhan kebutuhan pelayanan sesuai dengan peraturan perundang-undangan bagi setiap warga negara dan penduduk atas barang, jasa, dan/atau pelayanan administratif."
K01373,Pemagangan,"Bagian dari sistem pelatihan kerja yang diselenggarakan secara terpadu antara pelatihan di lembaga pelatihan dengan bekerja secara langsung di bawah bimbingan dan pengawasan instruktur atau pekerja/buruh yang lebih berpengalaman, dalam proses produksi barang dan/atau jasa di perusahaan, dalam rangka menguasai keterampilan atau keahlian tertentu."
K01379,Pemasaran,"Proses, cara, perbuatan memasarkan suatu barang dagangan."
K00936,Pemasyarakatan,"Proses, cara, perbuatan memasukkan seseorang ke dalam masyarakat atau menjadikan seseorang sebagai anggota masyarakat."
K01384,Pembangunan,"Proses, cara, perbuatan membangun."
K00472,Pembangunan Gender,"Upaya untuk menciptakan kondisi agar semua orang, tanpa memandang jenis kelamin atau identitas gender mereka, memiliki hak, kesempatan, dan perlakuan yang adil dalam berbagai aspek kehidupan."
K01386,Pembangunan Manusia,"Pembangunan potensi individu dan masyarakat yang bertujuan untuk meningkatkan kualitas hidup dengan menjamin ketersediaan pada akses kebutuhan dasar manusia, seperti kesehatan, pendidikan, dan layanan sosial."
K02370,Pembangunan Nasional,"Rangkaian upaya pembangunan yang berkesinambungan yang meliputi seluruh aspek kehidupan masyarakat, bangsa dan negara, untuk melaksanakan tugas mewujudkan tujuan nasional sebagaimana dirumuskan dalam Pembukaan Undang-undang Dasar Negara Republik Indonesia tahun 1945."
K01389,Pembayaran,"Proses, cara, perbuatan memberikan uang untuk pengganti harga barang yang diterima, melunasi utang, dan sebagainya."
K01395,Pemberdayaan Gender,"Proses untuk meningkatkan kemampuan, kesadaran, dan akses perempuan dan laki-laki untuk berpartisipasi secara penuh dalam semua aspek kehidupan."
K02371,Pembibitan,"Kegiatan melakukan pemuliaan, produksi, dan sertifikasi benih/bibit."
K01391,Pembibitan Ikan,"Kegiatan membiakkan ikan dalam media baik air tawar, air laut maupun air payau sampai umur, bentuk, dan ukuran tertentu, yang peruntukannya sebagai input untuk kegiatan budidaya pembesaran."
K01405,Pembudidayaan Ikan,"Kegiatan pemeliharaan, pembesaran, dan/atau pembiakan ikan serta panen hasilnya dalam lingkungan yang terkontrol."
K01407,Pembunuhan,Kejahatan dengan sengaja membunuh seseorang.
K01411,Pemerintah Daerah,Entitas pemerintahan yang bertanggung jawab untuk mengelola dan mengatur wilayah administrasi tertentu di bawah kewenangan Pemerintah Pusat.
K01412,Pemerintah Pusat,"Entitas tertinggi dalam sistem pemerintahan yang memiliki kewenangan untuk mengatur, mengelola, dan mengawasi negara secara keseluruhan."
K01416,Pemimpin,"Orang yang memiliki kemampuan untuk mengarahkan, mempengaruhi, dan menginspirasi orang lain untuk mencapai tujuan bersama."
K01420,Pemotongan Ternak,"Proses penjagalan ternak hidup dengan tujuan untuk mendapatkan daging, kulit, dan produk lainnya yang dapat dimanfaatkan sesuai dengan syarat dan ketentuan yang berlaku."
K01423,Pemustaka,"Perseorangan, kelompok orang, masyarakat, atau lembaga yang memanfaatkan fasilitas layanan perpustakaan."
K01439,Penangkapan Ikan,"Kegiatan menangkap dan mengumpulkan organisme air, termasuk tanaman yang ada di laut, pesisir, maupun perairan darat, baik untuk dikonsumsi manusia maupun untuk keperluan lainnya, dengan menggunakan berbagai alat seperti jaring dan perangkap."
K02125,Penangkapan Ikan Terukur,Penangkapan ikan dilakukan secara terkendali dan proporsional berdasarkan kuota penangkapan ikan dalam rangka menjaga kelestarian sumber daya ikan dan lingkungannya serta pemerataan pertumbuhan ekonomi nasional.
K01441,Pencari Kerja,"Angkatan kerja yang sedang menganggur dan mencari pekerjaan maupun sudah bekerja tetapi ingin pindah atau alih pekerjaan, baik di dalam atau luar negeri, dengan mendaftarkan diri kepada pelaksana penempatan tenaga kerja atau secara langsung melamar pekerjaan kepada pemberi kerja."
K02372,Pencarian dan Pertolongan,"Segala usaha dan kegiatan mencari, menolong, menyelamatkan, dan mengevakuasi manusia yang menghadapi keadaan darurat dan/atau bahaya dalam kecelakaan, bencana, atau kondisi membahayakan manusia."
K01444,Pencemaran Udara,"Masuknya zat, energi, dan/atau komponen lainnya ke dalam udara oleh kegiatan manusia sehingga melampaui baku mutu udara yang telah ditetapkan."
K01445,Pencucian Uang,"Perbuatan menempatkan, mentransfer, membayarkan, membelanjakan, menghibahkan, menyumbangkan, menitipkan, membawa ke luar negeri, menukarkan, atau perbuatan lainnya atas harta kekayaan yang diketahuinya atau patut diduga merupakan hasil tindak pidana dengan maksud untuk menyembunyikan, atau menyamarkan asal usul harta kekayaan sehingga seolah-olah menjadi harta kekayaan yang sah."
K01447,Pencurian,Perbuatan mengambil milik orang lain tanpa izin secara melawan hukum dengan maksud untuk dimiliki.
K01449,Pendanaan Usaha,Modal kerja dan investasi yang diberikan oleh lembaga keuangan pelaksana kepada usaha mikro dan usaha kecil guna pembiayaan usaha produktif.
K01450,Pendapatan,"Penghasilan yang timbul dari pelaksanaan aktivitas normal entitas yang dikenal dengan sebutan yang beragam seperti keuntungan, penjualan, fee, bunga, dividen, royalti, dan sewa; atau perolehan uang atas hasil kerja berupa gaji, upah lembur, bonus, tunjangan."
K01454,Pendapatan Daerah,"Penerimaan oleh bendahara umum daerah atau oleh entitas pemerintah lainnya yang menambah saldo anggaran lebih dalam periode tahun anggaran yang bersangkutan yang menjadi hak pemerintah, dan tidak perlu dibayar kembali oleh pemerintah."
K01458,Pendapatan Pajak Dalam Negeri,"Semua penerimaan negara yang berasal dari pendapatan pajak penghasilan, pendapatan pajak pertambahan nilai barang dan jasa dan pendapatan pajak penjualan atas barang mewah, pendapatan pajak bumi dan bangunan, pendapatan cukai, dan pendapatan pajak lainnya."
K01460,Pendapatan Pemerintah,"Pendapatan negara dalam hal ini adalah hak pemerintah pusat yang diakui sebagai penambah kekayaan bersih yang terdiri atas Penerimaan Pajak, Penerimaan Negara Bukan Pajak (PNBP), dan hibah."
K01461,Pendapatan Rumah Tangga,"Seluruh pendapatan siap pakai (disposable income) yang diterima rumah tangga atau anggota rumah tangga dalam bentuk pendapatan usaha rumah tangga, upah dan gaji, pendapatan kepemilikan, pendapatan dalam bentuk uang maupun barang dari pihak lain secara cuma-cuma, serta pendapatan lainnya."
K01465,Pendapatan Usaha,Penerimaan yang diperoleh dari hasil kegiatan operasional suatu entitas usaha dan dari sumber lainnya.
K02183,Pendidik,"Tenaga kependidikan yang berkualifikasi sebagai guru, dosen, konselor, pamong belajar, widyaiswara, tutor, instruktur, fasilitator, dan sebutan lain yang sesuai dengan kekhususannya, serta berpartisipasi dalam penyelenggaraan pendidikan."
K02373,Pendidikan,"Usaha sadar dan terencana untuk mewujudkan suasana belajar dan proses pembelajaran agar peserta didik secara aktif mengembangkan potensi dirinya untuk memiliki kekuatan spiritual keagamaan, pengendalian diri, kepribadian, kecerdasan, akhlak mulia, serta keterampilan yang diperlukan dirinya, masyarakat, bangsa dan negara."
K01476,Penduduk,Semua orang yang berdomisili di wilayah Negara Kesatuan Republik Indonesia selama 1 tahun atau lebih dan/atau mereka yang berdomisili kurang dari 1 tahun tetapi bertujuan untuk menetap.
K01479,Penduduk Miskin,"Penduduk yang tidak mampu memenuhi hak dasar (hak atas pangan, sandang, layanan kesehatan, layanan pendidikan, pekerjaan dan berusaha, dan/atau perumahan) secara layak dan mandiri; atau penduduk yang memiliki rata-rata pengeluaran per kapita sebulan di bawah garis kemiskinan."
K00798,Penelitian/Riset,"Kegiatan yang dilakukan menurut metodologi ilmiah untuk memperoleh data dan informasi yang berkaitan dengan pemahaman tentang fenomena alam dan/atau sosial, pembuktian kebenaran atau ketidakbenaran suatu asumsi dan/atau hipotesis, dan penarikan kesimpulan ilmiah."
K01486,Penempatan Pekerja,"Kegiatan pelayanan untuk mempertemukan pekerja sesuai bakat, minat, dan kemampuannya dengan pemberi kerja yang meliputi keseluruhan proses perekrutan, pengurusan dokumen, pendidikan dan pelatihan, penampungan, persiapan pemberangkatan, pemberangkatan, dan pemulangan."
K00609,Penerangan Jalan,"Sarana untuk menerangi lalu lintas jalan, seperti lampu."
K01507,Pengaman Pantai,"Upaya untuk melindungi dan mengamankan daerah pantai dan muara sungai dari kerusakan akibat erosi, abrasi, dan akresi."
K01510,Pengangguran,"Penduduk yang tidak memiliki pekerjaan dan memenuhi kriteria: (1) aktif mencari pekerjaan, (2) sedang mempersiapkan usaha/pekerjaan baru, (3) tidak mencari pekerjaan karena merasa tidak mungkin mendapat pekerjaan, serta (4) kelompok penduduk yang tidak aktif mencari pekerjaan dengan alasan sudah mempunyai pekerjaan tetapi belum mulai bekerja."
K01515,Pengelola Usaha Pertanian,"Orang yang memiliki tanggung jawab teknis, yuridis, dan ekonomis pada unit usaha pertanian subsektor tanaman pangan, hortikultura, perkebunan, peternakan, perikanan, dan/atau kehutanan."
K01518,Pengelolaan Kualitas Air,Upaya pemeliharaan air sehingga tercapai kualitas air yang diinginkan sesuai peruntukannya untuk menjamin agar kualitas air tetap dalam kondisi alamiahnya.
K01519,Pengelolaan Limbah,"Kegiatan yang meliputi pengurangan, penyimpanan, pengumpulan, pengangkutan, pemanfaatan, pengolahan, dan/atau penimbunan limbah."
K01524,Pengelolaan Sampah,"Kegiatan yang sistematis, menyeluruh, dan berkesinambungan yang meliputi pengurangan dan penanganan sampah."
K01536,Pengeluaran,"Seluruh biaya yang dikeluarkan untuk konsumsi barang dan jasa, baik yang berasal dari pembelian, pemberian, maupun produksi sendiri, yang dibedakan atas konsumsi makanan maupun bukan makanan tanpa memperhatikan asal barang, tidak termasuk konsumsi/pengeluaran untuk keperluan usaha atau yang diberikan kepada pihak lain."
K01531,Pengeluaran Pemerintah,"Biaya yang dikeluarkan oleh sektor pemerintah untuk pembelian barang dan jasa yang berada di bawah judul pembelian pemerintah dan termasuk pengeluaran yang tidak untuk barang dan jasa, yang disebut pembayaran transfer."
K01540,Pengeluaran Usaha,Biaya operasional dan non operasional yang digunakan dalam kegiatan usaha.
K01569,Penghapusan Merkuri,"Upaya pelarangan produksi merkuri, penggunaan merkuri, dan/atau penggantian merkuri dengan bahan alternatif yang ramah terhadap kesehatan manusia dan lingkungan hidup."
K01572,Pengiriman/Ekspedisi,"Proses, cara, perbuatan menyampaikan atau mengantarkan surat, barang, dan sebagainya dengan perantara ke berbagai alamat tujuan."
K01580,Pengurangan Merkuri,"Upaya pembatasan merkuri secara bertahap pada kegiatan peredaran merkuri, penggunaan merkuri, pengendalian emisi, dan lepasan merkuri."
K02374,Penilaian Kesesuaian,"Kegiatan yang bertujuan untuk menentukan mutu suatu barang, jasa, sistem, proses, atau personal telah memenuhi persyaratan acuan."
K01584,Penjualan,"Proses atau perbuatan menjual suatu produk, baik barang maupun jasa, dari produsen ke konsumen."
K01587,Penolong Kelahiran,Penolong dalam proses persalinan sampai dengan kala tiga (keluarnya plasenta/ari-ari bayi).
K01588,Penumpang,Setiap orang yang berada di moda transportasi selain pengemudi dan awak kendaraan.
K01593,Penyakit Kaki Gajah (Filariasis),"Penyakit menular disebabkan oleh cacing filaria yang menyerang saluran dan kelenjar getah bening yang dapat merusak sistem limfa; menimbulkan pembengkakan pada tangan, kaki, glandula mammae, dan scrotum; menimbulkan cacat seumur hidup; serta menimbulkan stigma sosial bagi penderita dan keluarganya."
K01594,Penyakit Kronis,"Gangguan atau penyakit yang berlangsung lama (berbulan-bulan atau bertahun-tahun), tidak terjadi secara tiba-tiba/spontan, dan penyembuhannya pun memakan waktu yang lama."
K01596,Penyandang Disabilitas,"Setiap orang yang mengalami keterbatasan fisik, intelektual, mental, dan/atau sensorik dalam jangka waktu lama yang dalam berinteraksi dengan lingkungan dapat mengalami hambatan dan kesulitan untuk berpartisipasi secara penuh dan efektif dengan warga negara lainnya berdasarkan kesamaan hak."
K01600,Penyedia Makan Minum,"Unit usaha yang melakukan kegiatan pelayanan makan minum, yang menyediakan makanan dan minuman untuk dikonsumsi segera, meliputi restoran tradisional, restoran ""self-service"" atau restoran ""take away"", baik di tempat tetap maupun sementara dengan atau tanpa tempat duduk, yang ditentukan berdasarkan makanan dan minuman berdasarkan pemesanan, bukan berdasarkan fasilitas yang ditawarkan."
K01612,Penyuluh,"Seseorang yang memberikan petunjuk atau penjelasan dalam proses pembelajaran bagi pelaku utama serta pelaku usaha agar mereka mau dan mampu menolong dan mengorganisasikan dirinya dalam mengakses informasi pasar, teknologi, permodalan, dan sumber daya lainnya, sebagai upaya untuk meningkatkan produktivitas, efisiensi usaha, pendapatan, dan kesejahteraannya, serta meningkatkan kesadaran dalam pelestarian fungsi lingkungan hidup."
K02375,Penyusutan Arsip,"Kegiatan pengurangan jumlah arsip dengan cara pemindahan arsip inaktif dari unit pengolah ke unit kearsipan, pemusnahan arsip yang tidak memiliki nilai guna, dan penyerahan arsip statis kepada lembaga kearsipan."
K01617,Perairan Darat,"Perairan yang bukan milik perorangan dan/atau korporasi, yang diukur mulai dari garis pasang surut terendah air laut ke daratan."
K01622,Peralatan Persinyalan Perkeretaapian,Fasilitas pengoperasian kereta api yang berfungsi memberi petunjuk atau isyarat yang berupa warna atau cahaya dengan arti tertentu yang dipasang pada tempat tertentu.
K01630,Peraturan Perundang-undangan,Peraturan tertulis yang memuat norma hukum yang mengikat secara umum dan dibentuk atau ditetapkan oleh lembaga negara atau pejabat yang berwenang melalui prosedur yang ditetapkan.
K01634,Perawat,"Seseorang yang telah lulus pendidikan tinggi keperawatan, baik di dalam maupun di luar negeri yang diakui oleh pemerintah sesuai dengan ketentuan peraturan perundang-undangan."
K01637,Perceraian,Salah satu sebab putusnya perkawinan/pernikahan yang dapat terjadi karena talak (cerai talak) atau berdasarkan gugatan perceraian (cerai gugat).
K01639,Perdagangan,Tatanan kegiatan yang terkait dengan transaksi barang dan/atau jasa di dalam negeri dan melampaui batas wilayah negara dengan tujuan pengalihan hak atas barang dan/atau jasa untuk memperoleh imbalan atau kompensasi.
K01640,Perdagangan Besar,"Penjualan kembali barang baru dan bekas ke pengecer; perdagangan antarbisnis, seperti pengguna industri, komersial, institusi atau profesional; atau penjualan kembali ke pedagang grosir lainnya atau pihak yang bertindak sebagai agen atau perantara dalam pembelian atau penjualan barang untuk orang atau perusahaan tersebut."
K00415,Perdagangan Melalui Sistem Elektronik (PMSE)/Electronic Commerce (E-commerce),Perdagangan yang transaksinya dilakukan melalui serangkaian perangkat dan prosedur elektronik.
K01642,Perdagangan Orang,"Tindakan perekrutan, pengangkutan, penampungan, pengiriman, pemindahan, atau penerimaan seseorang dengan ancaman kekerasan, penggunaan kekerasan, penculikan, penyekapan, pemalsuan, penipuan, penyalahgunaan kekuasaan atau posisi rentan, penjeratan utang atau memberi bayaran atau manfaat, sehingga memperoleh persetujuan dari orang yang memegang kendali atas orang lain tersebut, baik yang dilakukan di dalam negara maupun antarnegara, untuk tujuan eksploitasi atau mengakibatkan orang tereksploitasi."
K01643,Perdesaan,"Status suatu wilayah administrasi setingkat desa/kelurahan yang memenuhi kriteria kepadatan penduduk yang rendah, persentase masyarakat yang bekerja di sektor pertanian yang tinggi, dan terbatasnya keberadaan fasilitas sosial."
K01647,Perempuan,"Orang (manusia) yang mempunyai ciri fisiologis tertentu, seperti menstruasi, hamil, melahirkan anak, dan/atau menyusui."
K01651,Perguruan Tinggi,"Pendidikan pada jalur pendidikan formal setelah pendidikan menengah yang dapat berupa program pendidikan diploma, sarjana, magister, spesialis, dan doktoral."
K01654,Perhutanan Sosial,"Sistem pengelolaan hutan lestari yang dilaksanakan dalam kawasan hutan negara atau hutan hak/hutan adat yang dilaksanakan oleh masyarakat setempat atau masyarakat hukum adat sebagai pelaku utama untuk meningkatkan kesejahteraannya, keseimbangan lingkungan dan dinamika sosial budaya."
K01655,Perikanan,"Segala sesuatu yang bersangkutan dengan penangkapan, pemiaraan, dan pembudidayaan ikan."
K02376,Perjalanan Wisata,Bepergian/perjalanan yang dilakukan oleh penduduk Indonesia dari tempat tinggal biasanya ke tempat di luar lingkungan sehari-hari di wilayah geografis Indonesia secara sukarela selama kurang dari 12 bulan dan bukan bertujuan untuk bekerja (memperoleh upah/gaji dari penduduk di tempat yang dituju) atau sekolah secara rutin.
K01665,Perjanjian Kerja Sama,Kesepakatan formal antara dua pihak atau lebih untuk bekerja sama dalam mencapai tujuan tertentu.
K01673,Perkeretaapian,"Kesatuan sistem yang terdiri atas prasarana, sarana, dan sumber daya manusia, serta norma, kriteria, persyaratan, dan prosedur untuk penyelenggaraan transportasi kereta api."
K01679,Perkotaan,"Status suatu wilayah administrasi setingkat desa/kelurahan yang memenuhi kriteria kepadatan penduduk yang tinggi, persentase masyarakat yang bekerja di sektor pertanian yang rendah, dan keberadaan fasilitas sosial."
K01681,Perlindungan Anak,"Segala kegiatan untuk menjamin dan melindungi anak dan hak-haknya agar dapat hidup, tumbuh, berkembang, dan berpartisipasi secara optimal sesuai dengan harkat dan martabat kemanusiaan, serta mendapat perlindungan dari kekerasan dan diskriminasi."
K01685,Perlindungan Sosial,"Segala bentuk kebijakan dan intervensi publik yang dilakukan untuk mencegah dan menangani risiko dari guncangan dan kerentanan, baik yang bersifat fisik, ekonomi, maupun sosial, terutama yang dialami oleh orang yang hidup dalam kemiskinan."
K01686,Perlintasan Sebidang Rel Kereta Api,Perpotongan antara jalan dengan jalur kereta api.
K01687,Permainan Rakyat,"Permainan yang didasarkan pada nilai tertentu, dilakukan oleh kelompok masyarakat secara terus-menerus, dan diwariskan pada generasi berikutnya serta bertujuan untuk menghibur diri, misalnya permainan kelereng, congklak, gasing, dan gobak sodor."
K02377,Permukiman,Daerah tempat orang bertempat tinggal atau berdiam.
K01692,Pernikahan/Perkawinan,Ikatan lahir batin antara seorang pria dengan seorang wanita dengan tujuan membentuk keluarga/rumah tangga.
K01694,Perpustakaan,"Institusi pengelola koleksi karya tulis, karya cetak, dan/atau karya rekam secara profesional dengan sistem yang baku guna memenuhi kebutuhan pendidikan, penelitian, pelestarian, informasi, dan rekreasi para pemustaka."
K01700,Persediaan/Inventori,"Barang yang tersedia, baik bahan baku dan bahan penolong, bahan bakar, bahan pembungkus, barang produksi setengah jadi, maupun barang jadi yang ada di gudang/inventori yang tercatat."
K01704,Persuratan,"Proses pengurusan surat resmi yang diawali dari pembuatan, konsep naskah surat, hingga diakhiri dengan selesainya pendistribusian surat."
K01705,Pertanian,"Kegiatan mengelola sumber daya alam hayati dengan bantuan teknologi, modal, tenaga kerja, dan manajemen untuk menghasilkan komoditas yang mencakup tanaman pangan, hortikultura, perkebunan, dan/atau peternakan dalam suatu agroekosistem."
K01707,Pertanian Perkotaan/Urban Farming,"Pertanian yang dilakukan di wilayah perkotaan pada lahan terbatas dengan sebagian besar media tanam di permukaan tanah secara langsung atau di media pot dan sejenisnya serta menggunakan teknologi, seperti hidroponik, akuaponik, vertikultura, media terpal, atau sejenisnya."
K01709,Pertumbuhan Anak,"Bertambahnya ukuran dan jumlah sel serta jaringan interselular yang ditunjukkan dengan bertambahnya ukuran fisik dan struktur tubuh, baik sebagian maupun keseluruhan, sehingga dapat diukur dengan satuan panjang dan berat."
K01710,Pertumbuhan Ekonomi,Proses perubahan kondisi perekonomian suatu negara secara berkesinambungan menuju keadaan yang lebih baik selama periode tertentu.
